window_start_sec,window_end_sec,window_mid_sec,window_mid_min,entropy_bits,normalized_entropy,unique_states,event_in_window
0,119,59.5,0.9916666666666667,0.20828499401469913,0.0897034643205879,4,False
15,134,74.5,1.2416666666666667,0.20828499401469913,0.0897034643205879,4,False
30,149,89.5,1.4916666666666667,0.20828499401469913,0.0897034643205879,4,False
45,164,104.5,1.7416666666666667,0.13895826373604137,0.05984606674169309,3,False
60,179,119.5,1.9916666666666667,0.13895826373604137,0.05984606674169309,3,False
75,194,134.5,2.2416666666666667,0.13895826373604137,0.05984606674169309,3,False
90,209,149.5,2.4916666666666667,0.5372529493287135,0.23138225103166937,3,False
105,224,164.5,2.7416666666666667,0.8356434079780282,0.35989202672469733,3,False
120,239,179.5,2.9916666666666667,0.9264046681474138,0.3989807738608521,2,False
135,254,194.5,3.2416666666666667,0.9949848281859701,0.42851664113838,2,False
150,269,209.5,3.4916666666666667,1.0428822872216026,0.44914495393630754,3,False
165,284,224.5,3.7416666666666667,0.9362275197211045,0.403211245767075,3,False
180,299,239.5,3.9916666666666667,0.7173500348949469,0.3089458439623841,3,False
195,314,254.5,4.241666666666666,0.3188980781983739,0.13734192669469542,3,False
210,329,269.5,4.491666666666666,0.19161832734803247,0.08252552168603135,3,False
225,344,284.5,4.741666666666666,0.19161832734803247,0.08252552168603135,3,False
240,359,299.5,4.991666666666666,0.13895826373604137,0.05984606674169309,3,False
255,374,314.5,5.241666666666666,0.06952964699480783,0.029944789051781877,2,False
270,389,329.5,5.491666666666666,0.43455540600088344,0.18715282654864637,5,False
285,404,344.5,5.741666666666666,0.8424813930374739,0.3628369865942567,5,False
300,419,359.5,5.991666666666666,1.1671325963073718,0.5026566493929219,5,False
315,434,374.5,6.241666666666666,1.524170185692742,0.6564243694922346,5,False
330,449,389.5,6.491666666666666,1.8124873107430726,0.780595796542527,5,False
345,464,404.5,6.741666666666666,1.9934181181758193,0.8585184539371021,5,True
360,479,419.5,6.991666666666666,2.045857850164568,0.8811030172163077,5,True
375,494,434.5,7.241666666666666,2.0446493265361823,0.8805825344196841,5,True
390,509,449.5,7.491666666666666,1.888853824050868,0.8134850636459943,5,True
405,524,464.5,7.741666666666666,1.7746466329561081,0.7642987036780728,5,True
420,539,479.5,7.991666666666666,1.5946699359386793,0.6867869592731887,5,True
435,554,494.5,8.241666666666667,1.5079457872168056,0.649436901399807,5,True
450,569,509.5,8.491666666666667,1.3611414978038283,0.5862117353250157,5,True
465,584,524.5,8.741666666666667,1.2705394136753578,0.5471915415782901,5,False
480,599,539.5,8.991666666666667,1.1800043457484617,0.5082002101385936,5,False
495,614,554.5,9.241666666666667,1.0964740622832532,0.4722256751609027,5,False
510,629,569.5,9.491666666666667,1.0103029464166384,0.4351137955741255,5,False
525,644,584.5,9.741666666666667,0.8579671476201716,0.36950633807710226,5,False
540,659,599.5,9.991666666666667,0.8175569817118452,0.35210262691252947,5,False
555,674,614.5,10.241666666666667,0.8131230735815163,0.3501930466201458,5,False
570,689,629.5,10.491666666666667,0.8746272839732117,0.37668146825866294,5,False
585,704,644.5,10.741666666666667,0.9673060376579123,0.41659603490212166,5,False
600,719,659.5,10.991666666666667,1.3110264059527321,0.5646283400590536,5,False
615,734,674.5,11.241666666666667,1.4242548515305642,0.6133931772765149,5,False
630,749,689.5,11.491666666666667,1.4798570854201114,0.6373397559892569,5,False
645,764,704.5,11.741666666666667,1.4214095149447636,0.612167757509182,5,False
660,779,719.5,11.991666666666667,1.3218601324335915,0.5692941720909387,4,False
675,794,734.5,12.241666666666667,1.1981613344774027,0.5160199995493513,4,False
690,809,749.5,12.491666666666667,0.8828124438929149,0.38020662476016104,4,False
705,824,764.5,12.741666666666667,0.4220559192346705,0.18176959061048986,3,False
720,839,779.5,12.991666666666667,0.4220559192346705,0.18176959061048986,3,False
735,854,794.5,13.241666666666667,0.42411120998536356,0.18265475615683843,4,False
750,869,809.5,13.491666666666667,0.45829354878131023,0.19737628817637537,4,False
765,884,824.5,13.741666666666667,0.5730808018865567,0.24681246725444234,4,False
780,899,839.5,13.991666666666667,0.6149103852920057,0.264827488261145,4,False
